Permalink,title,description,visual_first_3_seconds,background_music_type_first_3_seconds,published_time_ist,seven_day_views,year,quarter,target,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,Secondary_Category_1_new,Secondary_Category_2_new,time_distribution,date
https://www.facebook.com/1954072204870360/posts/2467458496865059/,vivek ranadive - owner of sacramento kings,"कौन हैं विवेक रणदिवे, जिन्होंने खरीदी खुद की बास्केटबॉल टीम?",famous personality (fp),relevant,2019-10-20 08:00:01,2927,2019,4,low,sports & games,informative,rare,voice of famous personality(fpv),famous personality,neutral,famous personality,no_secondary_category,6 AM - 9 AM,2019-10-20
https://www.facebook.com/1954072204870360/posts/2463453957265513/,haryana congress chief kumari selja expels 16 party members,"haryana congress प्रमुख selja ने party से 16 बागियों को निकाला, former mp से लेकर minister तक हैं शामिल",famous personality (fp),relevant,2019-10-14 12:05:00,2215,2019,4,low,politics,informative,rare,text only(to),famous personality,happy,other,no_secondary_category,12 PM - 03 PM,2019-10-14
https://www.facebook.com/1954072204870360/posts/2461819257428983/,one day of being british deputy high commissioner,student को एक दिन के लिए बनाया गया british deputy high commissioner,commoner (np),loud,2019-10-12 17:12:22,5604,2019,4,average,global news,general,rare,text only(to),commoner,happy,famous personality,no_secondary_category,3 PM - 6 PM,2019-10-12
https://www.facebook.com/1954072204870360/posts/2461782450765997/,pm modi contributes to swachh bharat mission,कौन से beach पर pm modi ने खुद उठाया कचरा?,famous personality (fp),loud,2019-10-12 16:35:00,9103,2019,4,high,politics,informative,rare,text only(to),famous personality,neutral,rare,no_secondary_category,3 PM - 6 PM,2019-10-12
https://www.facebook.com/1954072204870360/posts/2465235580420684/,haryana bjp's stalwart - manohar lal khattar,"हरियाणा के पहले गैर जाट मुख्यमंत्री ने क्यों कभी नहीं की शादी?

manohar lal",crowd,loud,2019-10-16 11:40:00,3562,2019,4,low,politics,profile,rare,text only(to),famous personality,happy,famous personality,no_secondary_category,9 AM - 12 PM,2019-10-16
https://www.facebook.com/1954072204870360/posts/2464623227148586/,"the descendant of shivaji maharaj, shivendra raje bholase to contest from satara",शिवाजी महाराज के वंशज शिवेंद्रराजे भोसले को क्या एक बार फिर जनता देगी विधायक बनने का मौका?,famous personality (fp),relevant,2019-10-15 19:05:00,7148,2019,4,average,politics,profile,rare,text only(to),famous personality,happy,famous personality,other,6 PM - 9 PM,2019-10-15
https://www.facebook.com/1954072204870360/posts/2463687217242187/,pankaja munde - bjp's women power,"maharashtra bjp के सबसे बड़े महिला चेहरे के सामने होगी भाई को हराने की चुनौती

pankaja gopinath munde",famous personality (fp),relevant,2019-10-14 19:00:02,4682,2019,4,average,politics,profile,rare,text only(to),famous personality,action,famous personality,rare,6 PM - 9 PM,2019-10-14
https://www.facebook.com/1954072204870360/posts/2463694387241470/,yogeshwar dutt eyes a 'slamming' election debut,"कुश्ती के दंगल के बाद चुनावी दंगल में उतरा ये मशहूर पहलावान

yogeshwar dutt",famous personality (fp),low,2019-10-15 11:00:00,2688,2019,4,low,politics,profile,rare,text only(to),famous personality,rare,famous personality,other,9 AM - 12 PM,2019-10-15
https://www.facebook.com/1954072204870360/posts/2461193124158263/,reason behind shanivar vrat,राजा विक्रमादित्य की किस बात से रूठे थे शनिदेव?,commoner (np),relevant,2019-10-12 08:00:46,49599,2019,4,high,lifestyle,rare,rare,voice_over(vo),famous personality,happy,rare,no_secondary_category,6 AM - 9 AM,2019-10-12
https://www.facebook.com/1954072204870360/posts/2467361376874771/,why do we worship lord hanuman on saturday?,"शनिदेव ने हनुमान जी से क्यों मांगा था सरसों का तेल?

(via newj dharohar)",famous personality (fp),relevant,2019-10-19 08:00:14,22558,2019,4,high,lifestyle,rare,rare,voice_over(vo),famous personality,neutral,rare,no_secondary_category,6 AM - 9 AM,2019-10-19
https://www.facebook.com/1954072204870360/posts/2461032227507686/,reliance foundation's education and sports for all,"पढ़ाई के साथ-साथ sports से भी बच्चों की जिंदगी बदल रहा है esa 

reliance foundation",famous personality (fp),neutral,2019-10-12 10:00:00,2590,2019,4,low,rare,informative,rare,voice of famous personality(fpv),famous personality,happy,rare,no_secondary_category,9 AM - 12 PM,2019-10-12
